Data Model,Event Type,Field Group,Title,Data Type,Consistency,Required,Notes,Description
Clinical Summary,PatientPush,Header,Header.PCP.Type,String,3,false,"","The type of Primary Care Provider for the Patient"
Clinical Summary,PatientPush,Header,Header.PCP.Location,Object,3,false,"","Provider's location"
Clinical Summary,PatientPush,Header,Header.PCP.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Clinical Summary,PatientPush,Header,Header.PCP.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Clinical Summary,PatientPush,Header,Header.PCP.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Clinical Summary,PatientPush,Header,Header.PCP.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Clinical Summary,PatientPush,Header,Header.PCP.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientPush,Header,Header.PCP.Location.Department,String,3,false,"","Department"
Clinical Summary,PatientPush,Header,Header.PCP.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Clinical Summary,PatientPush,Header,Header.PCP.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Clinical Summary,PatientPush,Header,Header.PCP.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientPush,Header,Header.PCP.Location.Room,String,3,false,"Example: 136","Room"
Clinical Summary,PatientPush,Header,Header.Document.Visit,undefined,3,false,"","Note - visit fields are unlikely in PatientPush. The VisitPush event type should be used instead."
Clinical Summary,PatientPush,Header,Header.Document.Visit,undefined,1,false,"","If the document is tied to a visit, this contains information about the encompassing encounter."
Clinical Summary,PatientPush,Header,Header.Document.Visit.StartDateTime,DateTime,2,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","The start date/time of the visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.EndDateTime,String,2,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","The end date/time of the visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.Reason,String,3,false,"The Reason for Visit is rarely found in the header. Instead, look to the ReasonForVisitText and related fields.","The reason for visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.VisitNumber,String,1,true,"","ID for the patient visit/encounter."
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.Code,String,2,false,"CPT-4","A code describing the type of visit (office visit, hospital, etc)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.Name,String,2,false,"","Name of the type of visit (office visit, hospital, etc)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the type of visit (office visit, hospital, etc)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.AltCodes[].Code,String,3,false,"","A code describing the type of visit (office visit, hospital, etc)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Type.AltCodes[].Name,String,3,false,"","Name of the type of visit (office visit, hospital, etc)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location,Object,3,false,"","The location of the visit. Note - more precise information may be available via an extension."
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.Type,String,3,false,"Examples: Clinic, Department, Home, Nursing Unit, Provider's Office, Phone","Type of location"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.Facility,String,3,false,"Example: Community Hospital","Facility"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.FacilityIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this facility"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.FacilityIdentifiers[].ID,String,3,false,"","An ID specific to this facility"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.FacilityIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.Department,String,3,false,"","Department"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.DepartmentIdentifiers[],Array of Objects,3,false,"","List of IDs specific to this department"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.DepartmentIdentifiers[].ID,String,3,false,"","An ID specific to this department"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.DepartmentIdentifiers[].IDType,String,3,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientPush,Header,Header.Document.Visit.Location.Room,String,3,false,"Example: 136","Room"
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.Code,String,2,false,"","A code describing the discharge disposition of the visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.Name,String,2,false,"","Name of the discharge disposition of the visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the discharge disposition of the visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.AltCodes[].Code,String,3,false,"","A code describing the discharge disposition of the visit."
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Header,Header.Document.Visit.DischargeDisposition.AltCodes[].Name,String,3,false,"","Name of the discharge disposition of the visit."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectivesText,String,2,false,"","Free text form of the advance directives summary"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[],Array of Objects,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.Code,String,1,true,"SNOMED CT","A code describing the type of advance directive (such as resuscitation)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.Name,String,1,false,"","Name of the type of advance directive (such as resuscitation)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the type of advance directive (such as resuscitation)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.AltCodes[].Code,String,3,false,"","A code describing the type of advance directive (such as resuscitation)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Type.AltCodes[].Name,String,3,false,"","Name of the type of advance directive (such as resuscitation)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Code,String,1,true,"SNOMED CT","A code describing the value of the advance directive (such as 'do not resuscitate')"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Name,String,1,false,"","Name of the value of the advance directive (such as 'do not resuscitate')"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the value of the advance directive (such as 'do not resuscitate')"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].AltCodes[].Code,String,3,false,"","A code describing the value of the advance directive (such as 'do not resuscitate')"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].AltCodes[].Name,String,3,false,"","Name of the value of the advance directive (such as 'do not resuscitate')"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].StartDate,DateTime,1,true,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Effective start date of the advance directive."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].EndDate,DateTime,2,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","Effective end date of the advance directive."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].ExternalReference,String,2,false,"","A link to a location where the document can be accessed. "
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].VerifiedBy[],Array of Objects,2,false,"","A collection of people who verified the advance directive with the patient"
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].VerifiedBy[].FirstName,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].VerifiedBy[].LastName,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].VerifiedBy[].Credentials,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].VerifiedBy[].DateTime,String,2,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[],Array of Objects,2,false,"","People legally responsible for the advance directive document."
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].FirstName,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].LastName,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].Credentials,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].Address.StreetAddress,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].Address.City,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].Address.State,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].Address.Country,String,2,false,"",""
Clinical Summary,PatientPush,AdvanceDirectives,AdvanceDirectives[].Custodians[].Address.ZIP,String,2,false,"",""
Clinical Summary,PatientPush,Allergies,AllergyText,String,1,false,"When sent via Redox API, this can ONLY be pushed as plain text without any markup.","Free text form of the allergies summary"
Clinical Summary,PatientPush,Allergies,Allergies[],Array of Objects,2,false,"",""
Clinical Summary,PatientPush,Allergies,Allergies[].Type.Code,String,1,true,"[SNOMED CT from Allergy/Adverse Event Type Value Set](http://phinvads.cdc.gov/vads/ViewValueSet.action?id=7AFDBFB5-A277-DE11-9B52-0015173D1785)","A code describing the type of allergy intolerance this is (food, drug, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Type.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Type.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Type.Name,String,1,false,"","Name of the type of allergy intolerance this is (food, drug, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Type.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the type of allergy intolerance this is (food, drug, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Type.AltCodes[].Code,String,3,false,"","A code describing the type of allergy intolerance this is (food, drug, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Type.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Type.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Type.AltCodes[].Name,String,3,false,"","Name of the type of allergy intolerance this is (food, drug, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.Code,String,1,true,"RxNorm, SNOMED CT, [NDF-RT](http://phinvads.cdc.gov/vads/ViewValueSet.action?id=77FDBFB5-A277-DE11-9B52-0015173D1785), [UNII](http://www.fda.gov/ForIndustry/DataStandards/StructuredProductLabeling/ucm162523.htm)","A code describing the substance that the causes the allergy/intolerance"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.Name,String,1,false,"","Name of the substance that the causes the allergy/intolerance"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the substance that the causes the allergy/intolerance"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.AltCodes[].Code,String,3,false,"","A code describing the substance that the causes the allergy/intolerance"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Substance.AltCodes[].Name,String,3,false,"","Name of the substance that the causes the allergy/intolerance"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[],Array of Objects,2,false,"SNOMED CT","All the reactions caused by this particular substance."
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Code,String,1,true,"SNOMED CT","A code describing the reaction caused by the allergy (dizziness, hives ,etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Name,String,1,false,"","Name of the reaction caused by the allergy (dizziness, hives ,etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the reaction caused by the allergy (dizziness, hives ,etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].AltCodes[].Code,String,3,false,"","A code describing the reaction caused by the allergy (dizziness, hives ,etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].AltCodes[].Name,String,3,false,"","Name of the reaction caused by the allergy (dizziness, hives ,etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Severity.Code,String,1,false,"SNOMED CT","A code describing a code for the severity of the reaction (moderate, severe, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Severity.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Severity.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Severity.Name,String,1,false,"","Name of a code for the severity of the reaction (moderate, severe, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Reaction[].Text,String,1,false,"","Free text form of reactions to this substance, includes information that cannot be captured by coded value."
Clinical Summary,PatientPush,Allergies,Allergies[].Severity.Code,String,3,false,"SNOMED CT. Note that when multiple reactions have different severities, the severity at the allergy[] level is generally the highest of all reaction severities. This field is no longer recommended for use, but is preserved for backwards compatibility.","A code describing a code for the severity of the reaction (moderate, severe, etc.)."
Clinical Summary,PatientPush,Allergies,Allergies[].Severity.CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Severity.CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Severity.Name,String,3,false,"","Name of a code for the severity of the reaction (moderate, severe, etc.)."
Clinical Summary,PatientPush,Allergies,Allergies[].Criticality.Code,String,3,false,"SNOMED CT. Note this is a different concept than reaction severity.","A code describing a code for representing the gravity of potential risk for future life-threatening reactions (high, low, etc.)."
Clinical Summary,PatientPush,Allergies,Allergies[].Criticality.CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Criticality.CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Criticality.Name,String,3,false,"","Name of a code for representing the gravity of potential risk for future life-threatening reactions (high, low, etc.)."
Clinical Summary,PatientPush,Allergies,Allergies[].Status.Code,String,1,true,"SNOMED CT (Active, Inactive, Resolved)","A code describing the current status of the allergy (active, historic, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].Status.CodeSystem,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,Allergies,Allergies[].Status.CodeSystemName,String,1,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,Allergies,Allergies[].Status.Name,String,1,false,"","Name of the current status of the allergy (active, historic, etc.)"
Clinical Summary,PatientPush,Allergies,Allergies[].IsNegativeIndicator,Boolean,3,false,"","Absent or false for a normal allergy/intolerance; indicates that the allergy/intolerance is explicitly unlikely when true"
Clinical Summary,PatientPush,Allergies,Allergies[].StartDate,String,2,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","When the allergy was first noted"
Clinical Summary,PatientPush,Allergies,Allergies[].EndDate,String,2,false,"[ISO 8601 Format](http://en.wikipedia.org/wiki/ISO_8601)","When the allergy was no longer a problem (if applicable)."
Clinical Summary,PatientPush,Allergies,Allergies[].Comment,String,3,false,"This field is slated to be deprecated in favor of Comments[].Text","Free text comment about the allergy."
Clinical Summary,PatientPush,Allergies,Allergies[].Comments[],Array of Objects,3,false,"","Free text comments about the allergy."
Clinical Summary,PatientPush,Allergies,Allergies[].Comments[].Text,String,1,false,"","The plain text comment."
Clinical Summary,PatientPush,CareTeams,CareTeams[].Name,String,undefined,false,"","Name of the care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Status,String,undefined,false,"","Status of the care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].Code,String,2,false,"[Care Team Category](http://hl7.org/fhir/ValueSet/care-team-category)","A code describing type of care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].Name,String,2,false,"","Name of type of care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for type of care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].AltCodes[].Code,String,3,false,"","A code describing type of care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Types[].AltCodes[].Name,String,3,false,"","Name of type of care team"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization,Object,2,false,"",""
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Identifiers[],Array of Objects,2,false,"","List of IDs specific to this organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Identifiers[].ID,String,2,false,"","An ID specific to this organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Identifiers[].IDType,String,2,false,"Could be an OID or a human-readable name","The source or system to which this ID pertains"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Name,undefined,2,false,"","The name of the organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.Code,String,2,false,"","A code describing the kind of organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.CodeSystem,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.CodeSystemName,String,2,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.Name,String,2,false,"","Name of the kind of organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.AltCodes[],Array of Objects,3,false,"","Alternate or translation codes for the kind of organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.AltCodes[].Code,String,3,false,"","A code describing the kind of organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.AltCodes[].CodeSystem,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","ID of the coding system to which the code belongs in OID format."
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.AltCodes[].CodeSystemName,String,3,false,"Either CodeSystem or CodeSystemName (preferred) is required when a Code is present.","Coding system to which the code belongs (e.g. SNOMED CT, LOINC, RxNorm, CVX, ICD9, ICD10)"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Type.AltCodes[].Name,String,3,false,"","Name of the kind of organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address,Object,2,false,"","The address information for the organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address.StreetAddress,String,2,false,"","Street address"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address.City,String,2,false,"","City"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address.State,String,2,false,"","State"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address.ZIP,String,2,false,"","ZIP"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address.County,String,3,false,"","County"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Address.Country,String,3,false,"","Country"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Telecom[],undefined,2,false,"","Phone, fax, email, or other communication numbers for the organization"
Clinical Summary,PatientPush,CareTeams,CareTeams[].Organization.Telecom[].Value,undefined,2,false,"","The phone number or telecommunications address"
